slice_type,target,count,eligible_count,actual_sum,mean_bias,median_bias,normalized_mean_bias,underprediction_rate,overprediction_rate,mean_abs_error,normalized_abs_error,ficr_fail_rate,near_boundary_fail_rate,large_fail_rate,impact_proxy,month,hour,actual_bin,high_generation_flag,near_zero_flag,recommended_next_audit_route
target+month,kpx_group_2,744,686,10406864.029,-131.68985242642543,-98.8592655796956,-0.006096752427149326,0.5188172043010753,0.4771505376344086,2319.652575577196,0.1073913229433887,0.4986559139784946,0.07661290322580645,0.13440860215053763,73.67044753916464,12.0,,,,,feature sufficiency audit
target+month,kpx_group_2,744,535,5759055.919,1278.7576538338594,816.9107314016456,0.059201743233049046,0.2782258064516129,0.7150537634408602,2713.9928425923035,0.12564781678668074,0.4327956989247312,0.05241935483870968,0.2056451612903226,67.22158198087419,3.0,,,,,feature sufficiency audit
target+month,kpx_group_3,744,515,7022817.723,13.612597913119673,45.62634465511412,0.0006482189482437946,0.44623655913978494,0.5416666666666666,2474.873911087669,0.11785113862322234,0.4932795698924731,0.05779569892473118,0.16666666666666666,60.69333639095951,7.0,,,,,feature sufficiency audit
target+month,kpx_group_1,744,556,5934841.135,454.7581418000291,135.18565059898452,0.021053617675927273,0.4489247311827957,0.5416666666666666,2318.752796417608,0.10734966650081518,0.44489247311827956,0.06182795698924731,0.13440860215053763,59.68641457445324,3.0,,,,,feature sufficiency audit
target+month,kpx_group_1,744,536,6762292.859,517.1991374211849,418.7554552134741,0.023944404510240044,0.3696236559139785,0.6182795698924731,2378.8541510326218,0.11013213662188065,0.44489247311827956,0.07795698924731183,0.15053763440860216,59.03082522932803,7.0,,,,,feature sufficiency audit
target+month,kpx_group_3,744,496,5365383.198,-44.836938488273304,116.2584657272175,-0.0021350923089653953,0.4489247311827957,0.5510752688172043,2496.718753033138,0.11889136919205419,0.4327956989247312,0.038978494623655914,0.1922043010752688,58.970119119258875,3.0,,,,,feature sufficiency audit
target+month,kpx_group_2,744,526,7165757.116,1405.4718766094463,858.5766009604407,0.0650681424356225,0.25806451612903225,0.7325268817204301,2287.4364008203074,0.10589983337131054,0.40053763440860213,0.07123655913978495,0.13440860215053763,55.70331235330934,7.0,,,,,feature sufficiency audit
target+month,kpx_group_1,744,534,5866141.127,304.78777735897523,259.85124713477865,0.014110545248100705,0.42473118279569894,0.5752688172043011,2192.35628471655,0.10149797614428471,0.396505376344086,0.05779569892473118,0.14112903225806453,54.19991926104804,5.0,,,,,feature sufficiency audit
target+month,kpx_group_3,744,485,4852447.323,122.29500028838274,173.6396858270686,0.0058235714423039405,0.4314516129032258,0.5685483870967742,2229.961546263191,0.10618864506015195,0.4112903225806452,0.04704301075268817,0.16129032258064516,51.5014928541737,5.0,,,,,feature sufficiency audit
target+month,kpx_group_2,744,526,5884610.577,435.0801880514885,452.40087519575246,0.02014260129868002,0.396505376344086,0.603494623655914,2097.5903048408663,0.09711066226115124,0.38306451612903225,0.06317204301075269,0.11827956989247312,51.08020834936555,5.0,,,,,feature sufficiency audit
target+month,kpx_group_2,720,407,3460209.288,590.8209026092048,420.8018166577853,0.027352819565240966,0.35138888888888886,0.6486111111111111,1908.19258050998,0.08834224909768426,0.2847222222222222,0.05,0.08472222222222223,35.95529538275749,4.0,,,,,feature sufficiency audit
target+month,kpx_group_1,720,403,3347642.51,378.8246356202313,342.6304676539743,0.01753817757501071,0.37916666666666665,0.6194444444444445,1866.5786554692752,0.08641567849394793,0.30416666666666664,0.04861111111111111,0.09305555555555556,34.82551843306102,4.0,,,,,feature sufficiency audit
target+month,kpx_group_3,720,356,2895654.37,-204.04008346624792,127.76242157750056,-0.009716194450773711,0.4263888888888889,0.5736111111111111,1785.9201675006977,0.08504381750003322,0.2791666666666667,0.03888888888888889,0.1,30.275599030011826,4.0,,,,,feature sufficiency audit
target+month,kpx_group_1,720,342,4203456.495,710.1493416263859,531.35600836501,0.032877284334554904,0.3277777777777778,0.6722222222222223,1801.7062476441702,0.08341232627982269,0.25555555555555554,0.05694444444444444,0.07222222222222222,28.52701558769936,11.0,,,,,feature sufficiency audit
