slice_type,model_id,target,count,candidate_better_abs_error_rate,anchor_fail_candidate_success_count,anchor_fail_candidate_success_rate,candidate_norm_abs_error,anchor_norm_abs_error,actual_bin,month,hour,high_generation_flag,near_zero_flag
target+actual_bin,mlp_regressor_medium,kpx_group_2,1436,0.4958217270194986,204,0.14206128133704735,0.134854608076662,0.1376589031626291,10-30%,,,,
target+near_zero_flag,catboost_quantile_055,kpx_group_2,4982,0.49197109594540345,204,0.040947410678442396,0.1280503898583972,0.12724201563281665,,,,,False
target,catboost_quantile_055,kpx_group_3,8784,0.4960154826958106,203,0.023110200364298724,0.09460093408993372,0.09409083282851897,,,,,
target+near_zero_flag,catboost_quantile_055,kpx_group_3,4572,0.4536307961504812,203,0.04440069991251094,0.14120560642345312,0.13825807891838035,,,,,False
target+near_zero_flag,catboost_quantile_060_depth6,kpx_group_3,4572,0.49562554680664916,202,0.044181977252843396,0.13850696572418295,0.13825807891838035,,,,,False
target,catboost_quantile_060_depth6,kpx_group_3,8784,0.4520719489981785,202,0.022996357012750455,0.09600547881654048,0.09409083282851897,,,,,
target+near_zero_flag,catboost_quantile_060_depth6,kpx_group_1,4995,0.46886886886886886,199,0.03983983983983984,0.12033228196414386,0.11800893368961968,,,,,False
target,catboost_quantile_060_depth6,kpx_group_1,8784,0.42566029143898,199,0.022654826958105646,0.0979245970791558,0.09505471290658841,,,,,
target+actual_bin,extra_trees_wide,kpx_group_2,1462,0.6361149110807114,193,0.1320109439124487,0.1327401966303362,0.15649333293948497,30-60%,,,,
target+actual_bin,explainable_boosting,kpx_group_1,1484,0.5801886792452831,193,0.13005390835579514,0.12892515923552525,0.14005734159520486,30-60%,,,,
target+actual_bin,mlp_regressor_medium,kpx_group_3,1507,0.49037823490378235,190,0.126078301260783,0.11726356806030157,0.11884664239133533,10-30%,,,,
target+high_generation_flag,catboost_quantile_055,kpx_group_3,8072,0.5066897918731417,186,0.023042616451932608,0.08449472297271703,0.08504190260531146,,,,False,
target+actual_bin,explainable_boosting,kpx_group_2,1125,0.4631111111111111,186,0.16533333333333333,0.12783711952438745,0.11841741648640795,60-80%,,,,
target+actual_bin,mlp_regressor_medium,kpx_group_1,1554,0.4092664092664093,185,0.11904761904761904,0.13104481057676837,0.11244462850592622,10-30%,,,,
target+actual_bin,explainable_boosting,kpx_group_3,1507,0.49104180491041804,184,0.12209688122096882,0.11623336924276143,0.11884664239133533,10-30%,,,,
target+actual_bin,lgbm_l1_baseline,kpx_group_2,1462,0.5711354309165527,180,0.12311901504787962,0.14324977913770356,0.15649333293948497,30-60%,,,,
target+actual_bin,explainable_boosting,kpx_group_1,1554,0.5283140283140283,180,0.11583011583011583,0.10920315848691356,0.11244462850592622,10-30%,,,,
target+actual_bin,explainable_boosting,kpx_group_2,1436,0.5236768802228412,180,0.12534818941504178,0.13236599914636443,0.1376589031626291,10-30%,,,,
target+actual_bin,extra_trees_wide,kpx_group_1,1484,0.5876010781671159,178,0.11994609164420485,0.12636232767030944,0.14005734159520486,30-60%,,,,
target+actual_bin,tabm_torch,kpx_group_2,1125,0.35555555555555557,178,0.1582222222222222,0.17245191083004113,0.11841741648640795,60-80%,,,,
target+high_generation_flag,catboost_quantile_055,kpx_group_2,7831,0.5391393180947516,176,0.022474779721619206,0.09815608705164516,0.09990926308854271,,,,False,
target+actual_bin,mlp_regressor_medium,kpx_group_1,1484,0.4326145552560647,173,0.11657681940700809,0.15135254484989144,0.14005734159520486,30-60%,,,,
target+actual_bin,lgbm_l1_baseline,kpx_group_3,1448,0.5386740331491713,170,0.11740331491712708,0.1395054907082742,0.142959359710764,30-60%,,,,
target+actual_bin,ngboost_normal_260_lr03,kpx_group_3,1448,0.5455801104972375,167,0.11533149171270718,0.1352606842454075,0.142959359710764,30-60%,,,,
target+actual_bin,lgbm_l1_baseline,kpx_group_1,1484,0.5215633423180593,164,0.1105121293800539,0.1352983665595732,0.14005734159520486,30-60%,,,,
target+high_generation_flag,catboost_quantile_060_depth6,kpx_group_3,8072,0.4276511397423191,162,0.020069375619425175,0.0886232480513429,0.08504190260531146,,,,False,
target+actual_bin,extra_trees_wide,kpx_group_1,1111,0.47074707470747074,161,0.14491449144914492,0.11892552673875566,0.11067975269632961,60-80%,,,,
target+actual_bin,ngboost_normal_260_lr03,kpx_group_1,1111,0.44554455445544555,161,0.14491449144914492,0.11834659132732636,0.11067975269632961,60-80%,,,,
target+high_generation_flag,catboost_quantile_060_depth6,kpx_group_1,7944,0.4096173212487412,159,0.02001510574018127,0.09822230771188381,0.09463252111207307,,,,False,
target+actual_bin,ngboost_normal_260_lr03,kpx_group_1,1484,0.5626684636118598,156,0.10512129380053908,0.1321427566458801,0.14005734159520486,30-60%,,,,
target+actual_bin,ngboost_normal_260_lr03,kpx_group_2,1125,0.5288888888888889,156,0.13866666666666666,0.11788830185759656,0.11841741648640795,60-80%,,,,
actual_bin,catboost_quantile_055,,3135,0.44752791068580544,155,0.049441786283891544,0.12034236090736176,0.11527362042581495,60-80%,,,,
target+near_zero_flag,catboost_quantile_060_depth6,kpx_group_2,4982,0.4498193496587716,153,0.030710558008831795,0.12993128118427802,0.12724201563281665,,,,,False
target,catboost_quantile_060_depth6,kpx_group_2,8784,0.424408014571949,153,0.017418032786885244,0.10062059947326477,0.09743167261454445,,,,,
actual_bin,catboost_quantile_060_depth6,,4394,0.4378698224852071,152,0.03459262630860264,0.15069163496853055,0.1464823624365037,30-60%,,,,
target+actual_bin,extra_trees_wide,kpx_group_2,1436,0.6434540389972145,150,0.10445682451253482,0.12102181880212363,0.1376589031626291,10-30%,,,,
target+actual_bin,lgbm_l1_baseline,kpx_group_1,1554,0.5553410553410554,147,0.0945945945945946,0.10023790693481675,0.11244462850592622,10-30%,,,,
target+actual_bin,hist_gbdt_quantile_055,kpx_group_2,1462,0.5930232558139535,146,0.09986320109439124,0.14511207437517834,0.15649333293948497,30-60%,,,,
