slice_type,actual_bin,count,eligible_count,actual_sum,mean_bias,median_bias,normalized_mean_bias,underprediction_rate,overprediction_rate,mean_abs_error,normalized_abs_error,ficr_fail_rate,near_boundary_fail_rate,large_fail_rate,impact_proxy,target,month,hour
month+actual_bin,10-30%,508,508,2115959.996,1635.3753637071761,826.6534929104525,0.07636315544901977,0.4271653543307087,0.5728346456692913,3182.405288903739,0.1485548289447889,0.6299212598425197,0.08464566929133858,0.2421259842519685,75.46585310395277,,3.0,
month+actual_bin,60-80%,762,762,11557856.587,136.55423976645432,429.860692707407,0.006572311850842405,0.42650918635170604,0.573490813648294,2038.596654141382,0.09510587097669478,0.4973753280839895,0.09317585301837271,0.08792650918635171,72.47067368424142,,12.0,
month+actual_bin,30-60%,511,511,4870425.035,597.103073759745,685.010952285842,0.027821747581178946,0.4383561643835616,0.5616438356164384,2943.333757357123,0.13732498644846866,0.649706457925636,0.0684931506849315,0.23874755381604695,70.17306807516749,,5.0,
month+actual_bin,30-60%,440,440,4386458.841,2281.3377732174226,2478.497803281023,0.10644509495841606,0.2431818181818182,0.7568181818181818,3137.0813792707645,0.14633592440664775,0.6977272727272728,0.10227272727272728,0.26590909090909093,64.38780673892501,,7.0,
month+actual_bin,30-60%,440,440,4264057.134,999.4245864220326,914.1367909587634,0.04656997942679371,0.40454545454545454,0.5954545454545455,3004.587826650966,0.14063034891656107,0.6568181818181819,0.075,0.26136363636363635,61.87735352328687,,1.0,
month+actual_bin,60-80%,552,552,8351764.988,-174.84559777948422,323.7834283917691,-0.008430121821738289,0.45652173913043476,0.5434782608695652,2218.116413741026,0.1033907448189648,0.5344202898550725,0.11594202898550725,0.11594202898550725,57.07169114006857,,7.0,
month+actual_bin,10-30%,479,479,1900068.439,1257.962885114903,517.1458705271066,0.05896550064689484,0.44258872651356995,0.55741127348643,2519.3977708352704,0.11789419105386345,0.5198329853862212,0.0918580375782881,0.1732776617954071,56.471317514800596,,5.0,
month+actual_bin,30-60%,404,404,3760551.225,-429.2842678931626,-743.522934814529,-0.02036342290554803,0.5816831683168316,0.4183168316831683,2829.880179469205,0.1320692323728987,0.6287128712871287,0.07920792079207921,0.23267326732673269,53.355969878651074,,4.0,
month+actual_bin,10-30%,462,462,1818394.987,1239.9667959472933,925.4309866166466,0.057826698081940964,0.36363636363636365,0.6363636363636364,2275.0333006456767,0.10626434681939141,0.5021645021645021,0.0735930735930736,0.15800865800865802,49.09412823055883,,6.0,
month+actual_bin,10-30%,560,560,2244566.4,471.60456320277734,183.51670013016337,0.02188224867391168,0.4517857142857143,0.5482142857142858,1855.9603829136363,0.08665223332530356,0.425,0.10357142857142858,0.07142857142857142,48.525250662169995,,4.0,
month+actual_bin,30-60%,343,343,3164567.879,521.8405612127201,438.72299706220474,0.024149021119553,0.45481049562682213,0.5451895043731778,2933.017315100228,0.13665219450050106,0.6588921282798834,0.09037900874635568,0.2594752186588921,46.871702713671866,,6.0,
month+actual_bin,10-30%,513,513,2048127.784,-195.8186654080921,-623.148432216426,-0.009225223881965991,0.6140350877192983,0.38596491228070173,1877.7679959272054,0.08773992704500212,0.42300194931773877,0.10136452241715399,0.08771929824561403,45.01058257408609,,9.0,
month+actual_bin,30-60%,250,250,2385770.201,-1080.155037482923,-957.7944486574643,-0.0505550948371551,0.604,0.396,3399.860696578691,0.15875457177318447,0.712,0.06,0.328,39.68864294329612,,8.0,
month+actual_bin,30-60%,243,243,2219979.032,-951.8267858594816,-1846.1267944190095,-0.04460498122460988,0.6255144032921811,0.37448559670781895,3488.412086851368,0.16260489649212856,0.7654320987654321,0.06995884773662552,0.30864197530864196,39.51298984758724,,10.0,
month+actual_bin,30-60%,298,298,2585911.384,-1294.0051696501685,-1536.627251253884,-0.06037380826320434,0.7114093959731543,0.28859060402684567,2790.756904328842,0.13018397742574292,0.6308724832214765,0.06375838926174497,0.23154362416107382,38.79482527287139,,9.0,
