experiment,slice_type,target,nmae,ficr,eligible_hours,month,score,one_minus_nmae,avg_nmae
lead_bias_correction_shrink_0.75,month,,,0.3842603851853898,1587,3.0,0.6243398291788972,0.8644192731724045,0.1355807268275955
lead_bias_correction_shrink_0.75,month,,,0.3385328143832642,1166,4.0,0.6107250757351421,0.88291733708702,0.11708266291297997
lead_bias_correction_shrink_0.75,month,,,0.38030468520367783,1545,5.0,0.6276692737057956,0.8750338622079135,0.12496613779208653
lead_bias_correction_shrink_0.75,month,,,0.33595233743903224,970,6.0,0.6057526290092239,0.8755529205794155,0.12444707942058453
lead_bias_correction_shrink_0.75,month,,,0.3558523238913041,1577,7.0,0.6093305957718909,0.8628088676524777,0.13719113234752237
lead_bias_correction_shrink_0.75,month,,,0.35065292220522176,689,8.0,0.6090977274918273,0.867542532778433,0.13245746722156704
lead_bias_correction_shrink_0.75,month,,,0.3581276649090561,837,9.0,0.6250862065249643,0.8920447481408724,0.10795525185912756
lead_bias_correction_shrink_0.75,month,,,0.3216701453829092,895,10.0,0.5980512250681278,0.8744323047533464,0.12556769524665357
lead_bias_correction_shrink_0.75,month,,,0.324735394921101,963,11.0,0.5955947969197163,0.8664541989183316,0.13354580108166833
lead_bias_correction_shrink_0.75,month,,,0.40187802200206696,2038,12.0,0.6415343851731529,0.8811907483442388,0.11880925165576119
lead_bias_correction_shrink_1.00,group,kpx_group_1,0.11595173734705083,0.4061562406779105,4989,,,,
lead_bias_correction_shrink_1.00,group,kpx_group_2,0.12474986231150414,0.4185464204072001,4976,,,,
lead_bias_correction_shrink_1.00,group,kpx_group_3,0.14593831567756324,0.2633704983189503,4566,,,,
lead_bias_correction_shrink_1.00,month,,,0.36549113714815645,1492,1.0,0.6091732361243775,0.8528553351005985,0.1471446648994015
lead_bias_correction_shrink_1.00,month,,,0.3389175586640716,772,2.0,0.5989674820766901,0.8590174054893087,0.14098259451069126
lead_bias_correction_shrink_1.00,month,,,0.39006460631029727,1587,3.0,0.6273638943120539,0.8646631823138103,0.13533681768618966
lead_bias_correction_shrink_1.00,month,,,0.3399011888037187,1166,4.0,0.6114438211494188,0.8829864534951188,0.11701354650488116
lead_bias_correction_shrink_1.00,month,,,0.38387123029777764,1545,5.0,0.6296608813018381,0.8754505323058985,0.12454946769410145
lead_bias_correction_shrink_1.00,month,,,0.33588505661135004,970,6.0,0.6055882448971257,0.8752914331829014,0.12470856681709858
lead_bias_correction_shrink_1.00,month,,,0.35822989331381283,1577,7.0,0.6104716853925861,0.8627134774713594,0.1372865225286406
lead_bias_correction_shrink_1.00,month,,,0.35190547729878513,689,8.0,0.6098946707026142,0.8678838641064432,0.13211613589355675
lead_bias_correction_shrink_1.00,month,,,0.3620374063427418,837,9.0,0.6271701085772295,0.8923028108117173,0.10769718918828279
lead_bias_correction_shrink_1.00,month,,,0.3212407511961459,895,10.0,0.5981090123089742,0.8749772734218024,0.1250227265781976
lead_bias_correction_shrink_1.00,month,,,0.3248792236299347,963,11.0,0.595740839298435,0.8666024549669353,0.1333975450330647
lead_bias_correction_shrink_1.00,month,,,0.4014469805828574,2038,12.0,0.6412726363697996,0.8810982921567417,0.1189017078432583
