experiment,month,lead_hour,rows,baseline_abs_error,candidate_abs_error,delta_abs_error,impact_delta,fail_to_pass8,pass_to_fail8,net_pass8,seed
forecast_safe_ramp,1,32.0,77,0.15267301538656053,0.1527295187959989,5.650340943834484e-05,0.004350762526752552,2,4,-2,77
forecast_safe_ramp,1,33.0,75,0.15088863720719756,0.15978706003366341,0.008898422826465857,0.6673817119849393,2,4,-2,77
forecast_safe_ramp,1,34.0,72,0.19604564837269003,0.1919327219694743,-0.004112926403215709,-0.29613070103153105,4,3,1,77
forecast_safe_ramp,1,35.0,63,0.17759016088898266,0.17292737936732966,-0.004662781521653017,-0.2937552358641401,1,4,-3,77
forecast_safe_ramp,2,12.0,31,0.12478070273041583,0.12198327494713981,-0.002797427783276018,-0.08672026128155656,3,0,3,77
forecast_safe_ramp,2,13.0,33,0.13992987569511564,0.1370755918201345,-0.0028542838749811496,-0.09419136787437794,1,1,0,77
forecast_safe_ramp,2,14.0,34,0.1296260715244778,0.12366519662822242,-0.005960874896255372,-0.20266974647268263,1,0,1,77
forecast_safe_ramp,2,15.0,37,0.10622381044948483,0.10801897797772948,0.001795167528244667,0.06642119854505268,4,2,2,77
forecast_safe_ramp,2,16.0,36,0.13312337802727744,0.12369003310977021,-0.009433344917507223,-0.33960041703026,3,1,2,77
forecast_safe_ramp,2,17.0,36,0.14959717610457626,0.14581341788448154,-0.003783758220094696,-0.13621529592340906,0,0,0,77
forecast_safe_ramp,2,18.0,33,0.15401181367240588,0.15333978006071766,-0.0006720336116882052,-0.022177109185710774,3,3,0,77
forecast_safe_ramp,2,19.0,32,0.1470695811865691,0.1394788392377647,-0.007590741948804422,-0.2429037423617415,1,2,-1,77
forecast_safe_ramp,2,20.0,33,0.13170054937464393,0.13329772745713164,0.0015971780824876997,0.05270687672209409,2,2,0,77
forecast_safe_ramp,2,21.0,32,0.1759641533442606,0.17923502426084897,0.003270870916588392,0.10466786933082854,2,2,0,77
forecast_safe_ramp,2,22.0,32,0.18680608201654728,0.18998278395490625,0.0031767019383589666,0.10165446202748693,1,1,0,77
forecast_safe_ramp,2,23.0,31,0.18624603124645447,0.1934669003211215,0.007220869074667013,0.2238469413146774,0,0,0,77
forecast_safe_ramp,2,24.0,36,0.14507084071311752,0.14439742542448697,-0.000673415288630538,-0.024242950390699368,4,1,3,77
forecast_safe_ramp,2,25.0,32,0.16390375686603742,0.16275662649486333,-0.0011471303711740762,-0.03670817187757044,2,0,2,77
forecast_safe_ramp,2,26.0,30,0.1741444412393036,0.16927376933909236,-0.004870671900211243,-0.1461201570063373,4,0,4,77
forecast_safe_ramp,2,27.0,31,0.1459543856827369,0.14502797009813548,-0.0009264155846014319,-0.02871888312264439,0,2,-2,77
forecast_safe_ramp,2,28.0,30,0.12165954718895387,0.12375364868932788,0.0020941015003740166,0.0628230450112205,0,3,-3,77
forecast_safe_ramp,2,29.0,31,0.1284455244522371,0.1346646368194451,0.006219112367208008,0.19279248338344823,0,3,-3,77
forecast_safe_ramp,2,30.0,31,0.09994618385325384,0.10508113995455705,0.005134956101303219,0.1591836391403998,1,1,0,77
forecast_safe_ramp,2,31.0,35,0.12672553142860865,0.12298562583254964,-0.003739905596059012,-0.13089669586206543,5,3,2,77
forecast_safe_ramp,2,32.0,29,0.14651928429436456,0.14096638378585463,-0.0055529005085099056,-0.16103411474678725,2,1,1,77
forecast_safe_ramp,2,33.0,29,0.12043363509043632,0.11480720327937967,-0.005626431811056671,-0.16316652252064345,3,0,3,77
forecast_safe_ramp,2,34.0,29,0.15861170043673498,0.15666163940802935,-0.0019500610287056471,-0.056551769832463766,1,0,1,77
forecast_safe_ramp,2,35.0,29,0.15504123422505756,0.15332873665360852,-0.0017124975714490544,-0.049662429572022576,0,1,-1,77
forecast_safe_ramp,3,12.0,76,0.1407257641415945,0.1428811357317461,0.0021553715901516217,0.16380824085152323,2,3,-1,77
forecast_safe_ramp,3,13.0,72,0.13575460157511762,0.1424299912411315,0.006675389666013888,0.4806280559529999,2,3,-1,77
forecast_safe_ramp,3,14.0,72,0.130874182372091,0.14010074796316377,0.009226565591072758,0.6643127225572385,1,4,-3,77
forecast_safe_ramp,3,15.0,70,0.1508324824991444,0.15193580748565877,0.0011033249865143352,0.07723274905600347,2,3,-1,77
forecast_safe_ramp,3,16.0,73,0.16475817432974352,0.1659808136972695,0.0012226393675259769,0.0892526738293963,6,3,3,77
forecast_safe_ramp,3,17.0,68,0.1429698838620864,0.14374156977162938,0.000771685909542973,0.052474641848922164,2,3,-1,77
forecast_safe_ramp,3,18.0,65,0.1327589456241861,0.13163655005495106,-0.001122395569235026,-0.0729557120002767,2,4,-2,77
forecast_safe_ramp,3,19.0,64,0.13445922854921383,0.13436437753973648,-9.485100947734221e-05,-0.006070464606549902,6,6,0,77
forecast_safe_ramp,3,20.0,62,0.1353501724092325,0.14460331345823718,0.009253141049004678,0.5736947450382901,3,1,2,77
forecast_safe_ramp,3,21.0,57,0.1288439736800905,0.13627947455815145,0.00743550087806094,0.4238235500494736,2,6,-4,77
forecast_safe_ramp,3,22.0,53,0.1150066215580855,0.12147391454426294,0.0064672929861774265,0.3427665282674036,2,4,-2,77
forecast_safe_ramp,3,23.0,56,0.14020377912068116,0.14720938486560442,0.007005605744923261,0.3923139217157026,2,2,0,77
forecast_safe_ramp,3,24.0,59,0.14109241806045295,0.1397100300552655,-0.001382388005187448,-0.08156089230605942,2,2,0,77
forecast_safe_ramp,3,25.0,63,0.15611476578523997,0.14887611344043056,-0.007238652344809387,-0.4560350977229914,3,1,2,77
