experiment,target,label_regime,rows,baseline_abs_error,candidate_abs_error,delta_abs_error,impact_delta,fail_to_pass8,pass_to_fail8,net_pass8,seed
all_forecast_time_features,kpx_group_3,mid_12_50pct,2289,0.11925429150115355,0.11991447033887649,0.000660178837722935,1.511149359547798,186,168,18,11
all_forecast_time_features,kpx_group_3,very_high_80pct_plus,712,0.2590109792308394,0.26030921577485977,0.0012982365440203693,0.9243444193425029,19,8,11,11
all_plus_2025_lead_month_weight,kpx_group_1,ficr_boundary_8_12pct,219,0.07149845802867226,0.0736148523492348,0.0021163943205625485,0.4634903562031981,12,17,-5,11
all_plus_2025_lead_month_weight,kpx_group_1,high_50_80pct,1611,0.1305083089684209,0.12872794480612362,-0.0017803641622972852,-2.8681666654609264,128,104,24,11
all_plus_2025_lead_month_weight,kpx_group_1,mid_12_50pct,2319,0.1143052427223156,0.11703463322780722,0.0027293905054916324,6.329456582235095,151,215,-64,11
all_plus_2025_lead_month_weight,kpx_group_1,very_high_80pct_plus,840,0.133438353332074,0.1419276068762604,0.008489253544186441,7.130972977116611,34,90,-56,11
all_plus_2025_lead_month_weight,kpx_group_2,ficr_boundary_8_12pct,224,0.10454339020025151,0.10173017337104602,-0.0028132168292054924,-0.6301605697420303,20,20,0,11
all_plus_2025_lead_month_weight,kpx_group_2,high_50_80pct,1584,0.12924049754967515,0.13168826389077884,0.002447766341103689,3.877261884308243,100,100,0,11
all_plus_2025_lead_month_weight,kpx_group_2,mid_12_50pct,2215,0.1311841904209813,0.13275629592064112,0.0015721054996597702,3.482213681746391,160,202,-42,11
all_plus_2025_lead_month_weight,kpx_group_2,very_high_80pct_plus,953,0.09834163850524272,0.10212099291947412,0.00377935441423139,3.601724756762515,27,65,-38,11
all_plus_2025_lead_month_weight,kpx_group_3,ficr_boundary_8_12pct,212,0.07994228263478437,0.08234203932570351,0.002399756690919155,0.5087484184748609,18,15,3,11
all_plus_2025_lead_month_weight,kpx_group_3,high_50_80pct,1353,0.1418468411483141,0.14287543188740384,0.0010285907390897204,1.3916832699883919,109,116,-7,11
all_plus_2025_lead_month_weight,kpx_group_3,mid_12_50pct,2289,0.11925429150115355,0.12077326314229914,0.0015189716411455993,3.4769260865822766,184,182,2,11
all_plus_2025_lead_month_weight,kpx_group_3,very_high_80pct_plus,712,0.2590109792308394,0.2643648439068852,0.0053538646760458025,3.8119516493446115,11,9,2,11
lead_basic,kpx_group_1,ficr_boundary_8_12pct,219,0.07085527687001997,0.07170318657812905,0.0008479097081090696,0.18569222607588626,8,14,-6,42
lead_basic,kpx_group_1,high_50_80pct,1611,0.12675439923934345,0.12786173391638972,0.0011073346770462426,1.7839161647214967,77,65,12,42
lead_basic,kpx_group_1,mid_12_50pct,2319,0.11421912651372391,0.11525434673931977,0.0010352202255958461,2.400675703156767,68,90,-22,42
