experiment_id,target,nmae,ficr,eligible_hours
A2_group_1.025_1.030_1.015,kpx_group_1,0.11809781388143423,0.4044944979624114,4989
A2_group_1.025_1.030_1.015,kpx_group_2,0.12458699411380977,0.43537474183953045,4976
A2_group_1.025_1.030_1.015,kpx_group_3,0.14485134926293908,0.2672114920550922,4566
A2_group_1.030_1.015_1.010,kpx_group_1,0.11785922557727523,0.40886837138200616,4989
A2_group_1.030_1.015_1.010,kpx_group_2,0.12408215020034111,0.4315678278799043,4976
A2_group_1.030_1.015_1.010,kpx_group_3,0.14519359850005406,0.26601861174111757,4566
A2_group_1.030_1.030_1.000,kpx_group_1,0.11785922557727523,0.40886837138200616,4989
A2_group_1.030_1.030_1.000,kpx_group_2,0.12458699411380977,0.43537474183953045,4976
A2_group_1.030_1.030_1.000,kpx_group_3,0.14593831567756324,0.2633704983189503,4566
A2_group_1.025_1.015_1.025,kpx_group_1,0.11809781388143423,0.4044944979624114,4989
A2_group_1.025_1.015_1.025,kpx_group_2,0.12408215020034111,0.4315678278799043,4976
A2_group_1.025_1.015_1.025,kpx_group_3,0.14422980367376606,0.26944156826411997,4566
A2_group_1.030_1.020_1.005,kpx_group_1,0.11785922557727523,0.40886837138200616,4989
A2_group_1.030_1.020_1.005,kpx_group_2,0.12420404534771805,0.4337214482390474,4976
A2_group_1.030_1.020_1.005,kpx_group_3,0.14555594444244627,0.2641086960799954,4566
A2_group_1.030_1.025_1.005,kpx_group_1,0.11785922557727523,0.40886837138200616,4989
A2_group_1.030_1.025_1.005,kpx_group_2,0.12437457837284675,0.4337309514652289,4976
A2_group_1.030_1.025_1.005,kpx_group_3,0.14555594444244627,0.2641086960799954,4566
A2_group_1.025_1.020_1.020,kpx_group_1,0.11809781388143423,0.4044944979624114,4989
A2_group_1.025_1.020_1.020,kpx_group_2,0.12420404534771805,0.4337214482390474,4976
A2_group_1.025_1.020_1.020,kpx_group_3,0.14452894051282647,0.2673000322424318,4566
A2_group_1.025_1.025_1.020,kpx_group_1,0.11809781388143423,0.4044944979624114,4989
A2_group_1.025_1.025_1.020,kpx_group_2,0.12437457837284675,0.4337309514652289,4976
A2_group_1.025_1.025_1.020,kpx_group_3,0.14452894051282647,0.2673000322424318,4566
A2_group_1.025_1.020_1.015,kpx_group_1,0.11809781388143423,0.4044944979624114,4989
A2_group_1.025_1.020_1.015,kpx_group_2,0.12420404534771805,0.4337214482390474,4976
A2_group_1.025_1.020_1.015,kpx_group_3,0.14485134926293908,0.2672114920550922,4566
A2_group_1.025_1.025_1.015,kpx_group_1,0.11809781388143423,0.4044944979624114,4989
A2_group_1.025_1.025_1.015,kpx_group_2,0.12437457837284675,0.4337309514652289,4976
A2_group_1.025_1.025_1.015,kpx_group_3,0.14485134926293908,0.2672114920550922,4566
A2_group_1.025_1.030_1.010,kpx_group_1,0.11809781388143423,0.4044944979624114,4989
A2_group_1.025_1.030_1.010,kpx_group_2,0.12458699411380977,0.43537474183953045,4976
A2_group_1.025_1.030_1.010,kpx_group_3,0.14519359850005406,0.26601861174111757,4566
A2_group_1.030_1.020_1.000,kpx_group_1,0.11785922557727523,0.40886837138200616,4989
A2_group_1.030_1.020_1.000,kpx_group_2,0.12420404534771805,0.4337214482390474,4976
A2_group_1.030_1.020_1.000,kpx_group_3,0.14593831567756324,0.2633704983189503,4566
A2_group_1.030_1.030_0.995,kpx_group_1,0.11785922557727523,0.40886837138200616,4989
A2_group_1.030_1.030_0.995,kpx_group_2,0.12458699411380977,0.43537474183953045,4976
A2_group_1.030_1.030_0.995,kpx_group_3,0.1463453307188358,0.2624584101485688,4566
A2_group_1.030_1.005_1.030,kpx_group_1,0.11785922557727523,0.40886837138200616,4989
A2_group_1.030_1.005_1.030,kpx_group_2,0.12400904643534776,0.4245631874663484,4976
A2_group_1.030_1.005_1.030,kpx_group_3,0.14394733511787977,0.27028192179332794,4566
A2_group_1.020_1.030_1.030,kpx_group_1,0.11837627591910284,0.39906490623280516,4989
A2_group_1.020_1.030_1.030,kpx_group_2,0.12458699411380977,0.43537474183953045,4976
A2_group_1.020_1.030_1.030,kpx_group_3,0.14394733511787977,0.27028192179332794,4566
A2_group_1.030_1.025_1.000,kpx_group_1,0.11785922557727523,0.40886837138200616,4989
A2_group_1.030_1.025_1.000,kpx_group_2,0.12437457837284675,0.4337309514652289,4976
A2_group_1.030_1.025_1.000,kpx_group_3,0.14593831567756324,0.2633704983189503,4566
A3_shrink_0.25,kpx_group_1,0.11925804596635237,0.38399728826712914,4989
A3_shrink_0.25,kpx_group_2,0.12400371882949894,0.4264777205817637,4976
A3_shrink_0.25,kpx_group_3,0.14537210452413515,0.2654154026492227,4566
A3_shrink_0.50,kpx_group_1,0.11869588588404809,0.3939771898942994,4989
A3_shrink_0.50,kpx_group_2,0.12408215020034111,0.4315678278799043,4976
A3_shrink_0.50,kpx_group_3,0.14485134926293905,0.2672114920550922,4566
A3_shrink_0.75,kpx_group_1,0.11823193451590858,0.4037586595219619,4989
A3_shrink_0.75,kpx_group_2,0.12428214847854044,0.43386111241883546,4976
A3_shrink_0.75,kpx_group_3,0.14437726507231188,0.2690965883823598,4566
A3_shrink_1.00,kpx_group_1,0.11785922557727523,0.40886837138200616,4989
A3_shrink_1.00,kpx_group_2,0.12458699411380977,0.43537474183953045,4976
A3_shrink_1.00,kpx_group_3,0.14394733511787977,0.27028192179332794,4566
