target,feature_family,speed_decile,rows,settlement_weight_share,in8_rate,near_8_10_rate,lost_10_15_rate,mean_signed_error_ratio,mean_abs_error_ratio
kpx_group_3,soft_upstream,8,456,0.1428839070226767,0.3048245614035088,0.07675438596491228,0.19736842105263158,0.010251301934008519,0.14488003191653387
kpx_group_3,soft_upstream,9,457,0.16072545036743374,0.26695842450765866,0.04814004376367615,0.1772428884026258,-0.05940793043761794,0.1587823928726839
kpx_group_3,static_corr_top,0,457,0.041651845234707115,0.7899343544857768,0.04157549234135667,0.07221006564551423,-0.013743445692586585,0.06627523303839254
kpx_group_3,static_corr_top,1,457,0.05114696070060095,0.6258205689277899,0.08533916849015317,0.15098468271334792,-0.016529278647362425,0.08413346738848049
kpx_group_3,static_corr_top,2,456,0.0640881404338225,0.46710526315789475,0.06578947368421052,0.18201754385964913,-0.01423561649146727,0.114623512129888
kpx_group_3,static_corr_top,3,457,0.07618873349943193,0.350109409190372,0.087527352297593,0.19037199124726478,0.005505587866344632,0.13720354031132825
kpx_group_3,static_corr_top,4,456,0.0928716300475919,0.29605263157894735,0.09210526315789473,0.18421052631578946,0.010442816466200341,0.1465940729089202
kpx_group_3,static_corr_top,5,457,0.1081413068849652,0.33916849015317285,0.05689277899343545,0.18161925601750548,0.024716249892167304,0.1489032328003506
kpx_group_3,static_corr_top,6,456,0.12172981034407901,0.2916666666666667,0.06578947368421052,0.15350877192982457,0.043675336829379637,0.1577042290838799
kpx_group_3,static_corr_top,7,457,0.13540016267787278,0.2888402625820569,0.0787746170678337,0.16630196936542668,0.04063819346131962,0.1510995761746954
kpx_group_3,static_corr_top,8,456,0.14600911029403887,0.3157894736842105,0.05921052631578947,0.16447368421052633,0.021718290665970846,0.14935299243258757
kpx_group_3,static_corr_top,9,457,0.1627722998828897,0.2800875273522976,0.05470459518599562,0.18818380743982493,-0.055183821088322094,0.15616590126342506
