experiment_id,month,score,one_minus_nmae,ficr,avg_nmae,eligible_hours
B1_lgbm_W4_2022_2023_to_2024,5,0.6347260843128649,0.8730930951536661,0.3963590734720637,0.12690690484633393,1545
B1_lgbm_W4_2022_2023_to_2024,6,0.6370512901290116,0.8757667905257708,0.39833578973225253,0.12423320947422922,970
B1_lgbm_W4_2022_2023_to_2024,7,0.6118916149142479,0.8625673560981039,0.36121587373039193,0.1374326439018961,1577
B1_lgbm_W4_2022_2023_to_2024,8,0.6178577418308465,0.8660881778962838,0.3696273057654093,0.1339118221037162,689
B1_lgbm_W4_2022_2023_to_2024,9,0.6590400833386815,0.8905843226097603,0.42749584406760266,0.10941567739023968,837
B1_lgbm_W4_2022_2023_to_2024,10,0.6260357568244137,0.8718405574695731,0.38023095617925423,0.1281594425304269,895
B1_lgbm_W4_2022_2023_to_2024,11,0.6014103941131753,0.8652355633830239,0.3375852248433268,0.13476443661697615,963
B1_lgbm_W4_2022_2023_to_2024,12,0.6377987291072528,0.8809765205748459,0.39462093763965966,0.11902347942515408,2038
B1_lgbm_W5_2022_2023_recency_to_2024,1,0.6110674213007796,0.8524905390025709,0.36964430359898826,0.14750946099742912,1492
B1_lgbm_W5_2022_2023_recency_to_2024,2,0.5876160970617899,0.8554221901289693,0.3198100039946104,0.14457780987103072,772
B1_lgbm_W5_2022_2023_recency_to_2024,3,0.6202123687879638,0.8645526541151713,0.3758720834607563,0.1354473458848286,1587
B1_lgbm_W5_2022_2023_recency_to_2024,4,0.6528048825306818,0.8812980270490095,0.42431173801235417,0.11870197295099046,1166
B1_lgbm_W5_2022_2023_recency_to_2024,5,0.6321975337541297,0.8729259130063043,0.3914691545019551,0.12707408699369568,1545
B1_lgbm_W5_2022_2023_recency_to_2024,6,0.637764493836929,0.8757439225792867,0.39978506509457135,0.12425607742071336,970
B1_lgbm_W5_2022_2023_recency_to_2024,7,0.6089849188454173,0.8610403977610214,0.3569294399298131,0.13895960223897863,1577
B1_lgbm_W5_2022_2023_recency_to_2024,8,0.6173533408917908,0.8645320534534799,0.37017462833010173,0.13546794654652003,689
B1_lgbm_W5_2022_2023_recency_to_2024,9,0.6520297148063949,0.888534519480686,0.4155249101321039,0.111465480519314,837
B1_lgbm_W5_2022_2023_recency_to_2024,10,0.6185931332753909,0.8700002136819176,0.3671860528688642,0.1299997863180824,895
B1_lgbm_W5_2022_2023_recency_to_2024,11,0.6029832807758485,0.8658659442298839,0.340100617321813,0.13413405577011606,963
B1_lgbm_W5_2022_2023_recency_to_2024,12,0.6350372694813983,0.878959537859242,0.3911150011035545,0.12104046214075805,2038
B2_lgbm_W3_2023_to_2024,1,0.6016132598433808,0.8479050846105599,0.35532143507620173,0.15209491538944012,1492
B2_lgbm_W3_2023_to_2024,2,0.6239797342807171,0.8708723550619051,0.3770871134995291,0.1291276449380949,772
B2_lgbm_W3_2023_to_2024,3,0.616271895024789,0.8624610342765057,0.3700827557730722,0.1375389657234943,1587
B2_lgbm_W3_2023_to_2024,4,0.6389631254351095,0.8756127736428236,0.4023134772273953,0.12438722635717636,1166
B2_lgbm_W3_2023_to_2024,5,0.6254139850795447,0.870019730527227,0.38080823963186233,0.1299802694727729,1545
B2_lgbm_W3_2023_to_2024,6,0.6476481776575034,0.8781851176621331,0.4171112376528736,0.12181488233786682,970
B2_lgbm_W3_2023_to_2024,7,0.5966020801883742,0.858673770960178,0.3345303894165703,0.14132622903982195,1577
B2_lgbm_W3_2023_to_2024,8,0.6227427408905917,0.8669945116471557,0.3784909701340276,0.1330054883528443,689
B2_lgbm_W3_2023_to_2024,9,0.6371498768882584,0.8838406444540436,0.3904591093224732,0.11615935554595631,837
B2_lgbm_W3_2023_to_2024,10,0.6466600328104322,0.8754882625854481,0.4178318030354163,0.12451173741455185,895
B2_lgbm_W3_2023_to_2024,11,0.5882671008023715,0.8605596417184341,0.315974559886309,0.1394403582815659,963
B2_lgbm_W3_2023_to_2024,12,0.6191854205708194,0.8720566353632513,0.3663142057783875,0.12794336463674866,2038
