model_id,target,nmae,ficr,eligible_hours,group_score
family3_catboost_quantile_060_depth6_lgbm_l1_seed777_extra_trees_wide_0.70_0.15_0.15,kpx_group_3,0.13766536726025114,0.2994258737790177,4566,0.5808802532593833
w3_catboost_quantile_060_depth6_hist_gbdt_quantile_055_lgbm_l1_baseline_0.80_0.10_0.10,kpx_group_1,0.11817248377504938,0.4280577912613893,4989,0.65494265374317
w3_catboost_quantile_060_depth6_hist_gbdt_quantile_055_lgbm_l1_baseline_0.80_0.10_0.10,kpx_group_2,0.12724845611756017,0.4397478497057077,4976,0.6562496967940737
w3_catboost_quantile_060_depth6_hist_gbdt_quantile_055_lgbm_l1_baseline_0.80_0.10_0.10,kpx_group_3,0.13782337982315085,0.3015093685589521,4566,0.5818429943679007
family3_catboost_quantile_060_depth6_lgbm_l1_baseline_extra_trees_bootstrap_leaf3_0.65_0.20_0.15,kpx_group_1,0.11670298481438926,0.4245475462707081,4989,0.6539222807281595
family3_catboost_quantile_060_depth6_lgbm_l1_baseline_extra_trees_bootstrap_leaf3_0.65_0.20_0.15,kpx_group_2,0.12475587204249487,0.4440595471045316,4976,0.6596518375310184
family3_catboost_quantile_060_depth6_lgbm_l1_baseline_extra_trees_bootstrap_leaf3_0.65_0.20_0.15,kpx_group_3,0.137575325747632,0.296377929182541,4566,0.5794013017174545
w3_catboost_quantile_060_depth6_catboost_quantile_055_depth8_lgbm_l1_baseline_0.70_0.20_0.10,kpx_group_1,0.11840874286378643,0.42328165591117517,4989,0.6524364565236944
w3_catboost_quantile_060_depth6_catboost_quantile_055_depth8_lgbm_l1_baseline_0.70_0.20_0.10,kpx_group_2,0.1271294851372621,0.44075269777654075,4976,0.6568116063196393
w3_catboost_quantile_060_depth6_catboost_quantile_055_depth8_lgbm_l1_baseline_0.70_0.20_0.10,kpx_group_3,0.1377141590112632,0.3046853774165506,4566,0.5834856092026437
family3_catboost_quantile_060_depth6_lgbm_l1_baseline_extra_trees_bootstrap_leaf3_0.70_0.15_0.15,kpx_group_1,0.11699828350530234,0.4216007514194723,4989,0.6523012339570851
family3_catboost_quantile_060_depth6_lgbm_l1_baseline_extra_trees_bootstrap_leaf3_0.70_0.15_0.15,kpx_group_2,0.12494204163586102,0.44363793300037546,4976,0.6593479456822573
family3_catboost_quantile_060_depth6_lgbm_l1_baseline_extra_trees_bootstrap_leaf3_0.70_0.15_0.15,kpx_group_3,0.13754253486272258,0.29966613037383577,4566,0.5810617977555566
family3_catboost_quantile_060_depth6_lgbm_l1_seed777_extra_trees_bootstrap_leaf3_0.70_0.15_0.15,kpx_group_1,0.11715486099472683,0.42016510397226514,4989,0.6515051214887692
family3_catboost_quantile_060_depth6_lgbm_l1_seed777_extra_trees_bootstrap_leaf3_0.70_0.15_0.15,kpx_group_2,0.12512598392678098,0.4441917398348587,4976,0.6595328779540388
family3_catboost_quantile_060_depth6_lgbm_l1_seed777_extra_trees_bootstrap_leaf3_0.70_0.15_0.15,kpx_group_3,0.13765934213911799,0.30077591681241544,4566,0.5815582873366487
family3_catboost_quantile_060_depth6_lgbm_l1_seed777_extra_trees_bootstrap_leaf3_0.65_0.20_0.15,kpx_group_1,0.11683626264695848,0.4212445720999806,4989,0.652204154726511
family3_catboost_quantile_060_depth6_lgbm_l1_seed777_extra_trees_bootstrap_leaf3_0.65_0.20_0.15,kpx_group_2,0.12462977245260363,0.44468669239135983,4976,0.6600284599693781
family3_catboost_quantile_060_depth6_lgbm_l1_seed777_extra_trees_bootstrap_leaf3_0.65_0.20_0.15,kpx_group_3,0.137760541536212,0.29827703014595863,4566,0.5802582443048734
family3_catboost_quantile_060_depth6_lgbm_l1_baseline_extra_trees_wide_0.70_0.15_0.15,kpx_group_1,0.11695800867221394,0.42274573387611686,4989,0.6528938626019515
family3_catboost_quantile_060_depth6_lgbm_l1_baseline_extra_trees_wide_0.70_0.15_0.15,kpx_group_2,0.1252441073892698,0.44295717656968026,4976,0.6588565345902052
family3_catboost_quantile_060_depth6_lgbm_l1_baseline_extra_trees_wide_0.70_0.15_0.15,kpx_group_3,0.13751042545872036,0.2982188332401147,4566,0.5803542038906971
family3_catboost_quantile_060_depth6_lgbm_l1_leaf15_regularized_extra_trees_bootstrap_leaf3_0.70_0.15_0.15,kpx_group_1,0.11734012893753071,0.42084413191710507,4989,0.6517520014897872
family3_catboost_quantile_060_depth6_lgbm_l1_leaf15_regularized_extra_trees_bootstrap_leaf3_0.70_0.15_0.15,kpx_group_2,0.12548093939742988,0.4423631287099782,4976,0.6584410946562742
family3_catboost_quantile_060_depth6_lgbm_l1_leaf15_regularized_extra_trees_bootstrap_leaf3_0.70_0.15_0.15,kpx_group_3,0.13738675856055538,0.30060677239606953,4566,0.5816100069177571
w3_catboost_quantile_0575_depth6_hist_gbdt_quantile_055_lgbm_l1_baseline_0.70_0.20_0.10,kpx_group_1,0.11690219213247013,0.42676336065992765,4989,0.6549305842637287
w3_catboost_quantile_0575_depth6_hist_gbdt_quantile_055_lgbm_l1_baseline_0.70_0.20_0.10,kpx_group_2,0.12592364525241448,0.4491860941328871,4976,0.6616312244402363
w3_catboost_quantile_0575_depth6_hist_gbdt_quantile_055_lgbm_l1_baseline_0.70_0.20_0.10,kpx_group_3,0.1386540403351835,0.2890164133819255,4566,0.575181186523371
family3_catboost_quantile_060_depth6_lgbm_l1_seed777_extra_trees_bootstrap_leaf3_0.60_0.20_0.20,kpx_group_1,0.1164868968028827,0.41893018275990707,4989,0.6512216429785121
family3_catboost_quantile_060_depth6_lgbm_l1_seed777_extra_trees_bootstrap_leaf3_0.60_0.20_0.20,kpx_group_2,0.12388186925117178,0.4452423998257648,4976,0.6606802652872965
family3_catboost_quantile_060_depth6_lgbm_l1_seed777_extra_trees_bootstrap_leaf3_0.60_0.20_0.20,kpx_group_3,0.13780937165491033,0.29744749123914344,4566,0.5798190597921166
family3_catboost_quantile_060_depth6_lgbm_l1_leaf15_regularized_extra_trees_bootstrap_leaf3_0.65_0.20_0.15,kpx_group_1,0.11707888105272914,0.42068429314569594,4989,0.6518027060464834
family3_catboost_quantile_060_depth6_lgbm_l1_leaf15_regularized_extra_trees_bootstrap_leaf3_0.65_0.20_0.15,kpx_group_2,0.12508911519219684,0.4436536624480356,4976,0.6592822736279194
family3_catboost_quantile_060_depth6_lgbm_l1_leaf15_regularized_extra_trees_bootstrap_leaf3_0.65_0.20_0.15,kpx_group_3,0.1373945601475665,0.2986399047652655,4566,0.5806226723088495
family3_catboost_quantile_060_depth6_lgbm_l1_baseline_extra_trees_wide_0.65_0.20_0.15,kpx_group_1,0.1165992644873349,0.4228788541533408,4989,0.6531397948330029
