model_id,reference_id,target,pearson,spearman,both_outside_8pct_rate,model_better_abs_error_rate,actual_weighted_boundary_gain
catboost_quantile_055,current_best_anchor,kpx_group_1,0.9933601452154462,0.991271156478234,0.5397875325716577,0.4624173180998196,2222220.8279999997
catboost_quantile_055,current_best_anchor,kpx_group_2,0.9944564850772807,0.9918962305212453,0.5265273311897106,0.42021704180064307,2130336.3819999998
catboost_quantile_055,current_best_anchor,kpx_group_3,0.9937321988984553,0.9930243990224146,0.6121331581252738,0.48116513359614543,1596964.047
catboost_quantile_0575_depth6,lgbm_l1_baseline,kpx_group_1,0.9516030430438407,0.939117691810857,0.4722389256364001,0.5263579875726598,6094615.642000001
catboost_quantile_0575_depth6,lgbm_l1_baseline,kpx_group_2,0.9580337021864357,0.9430154563891833,0.4684485530546624,0.5126607717041801,5503520.846000001
catboost_quantile_0575_depth6,lgbm_l1_baseline,kpx_group_3,0.9540132499711322,0.950184348155136,0.557161629434954,0.5494962768287341,4178232.758
catboost_quantile_0575_depth6,current_best_anchor,kpx_group_1,0.9844089642835844,0.9798529811275224,0.5103227099619162,0.508117859290439,4080143.62
catboost_quantile_0575_depth6,current_best_anchor,kpx_group_2,0.9869292169741563,0.9806440794745294,0.5032154340836013,0.47266881028938906,3426972.9529999997
catboost_quantile_0575_depth6,current_best_anchor,kpx_group_3,0.9818470934840987,0.9800374879720382,0.5886990801576872,0.5219010074463425,2629459.961
catboost_quantile_060_depth6,lgbm_l1_baseline,kpx_group_1,0.9508557456303869,0.9393527981266847,0.46041290839847665,0.5239526959310483,6861452.272
catboost_quantile_060_depth6,lgbm_l1_baseline,kpx_group_2,0.955615666598126,0.9409519443270906,0.4616157556270096,0.5036173633440515,6139176.637
catboost_quantile_060_depth6,lgbm_l1_baseline,kpx_group_3,0.9495136562216031,0.9461238871898053,0.5370127025843189,0.5562855891371004,5383896.061
catboost_quantile_060_depth6,current_best_anchor,kpx_group_1,0.9833763891191899,0.9789939849821562,0.49468831429144117,0.5113249148125877,5019540.189
catboost_quantile_060_depth6,current_best_anchor,kpx_group_2,0.985341578868148,0.9794882645436177,0.49236334405144694,0.4620176848874598,4278664.936000001
catboost_quantile_060_depth6,current_best_anchor,kpx_group_3,0.9779349916430565,0.9760816570360189,0.5650459921156373,0.5326325010950503,3975560.527
catboost_rmse,lgbm_l1_baseline,kpx_group_1,0.9553208349783324,0.9412443431140043,0.4968931649629184,0.5147324113048707,3632667.9809999997
catboost_rmse,lgbm_l1_baseline,kpx_group_2,0.9593666445560155,0.9409564725720904,0.4805064308681672,0.5279340836012861,4030043.2430000002
catboost_rmse,lgbm_l1_baseline,kpx_group_3,0.9570681962929349,0.9536320816389671,0.5646079719667104,0.5124835742444153,3177497.9359999998
catboost_rmse,current_best_anchor,kpx_group_1,0.9767941313282571,0.9699258850690574,0.5173381439166166,0.4916816997394267,2468557.3269999996
catboost_rmse,current_best_anchor,kpx_group_2,0.9782951302123275,0.9679533568135071,0.49859324758842444,0.5138665594855305,2848229.6870000004
catboost_rmse,current_best_anchor,kpx_group_3,0.9721069308327824,0.9702392002250988,0.5790626368812966,0.4776609724047306,2374387.711
ebm_bins192_inter12,lgbm_l1_baseline,kpx_group_1,0.8883534601170086,0.8623145763207806,0.4546001202645821,0.48206053317298053,6093993.729
ebm_bins192_inter12,lgbm_l1_baseline,kpx_group_2,0.8905212761265784,0.8514176719692974,0.4342845659163987,0.470056270096463,6744908.129999999
