model_id,model_family,raw_score,raw_1_nmae,raw_ficr,best_alpha,alpha_score,alpha_1_nmae,alpha_ficr,avg_nmae,delta_vs_baseline,worst_month_score,high_generation_score,group_1_score,group_2_score,group_3_score,train_seconds,predict_seconds,status,notes,months_better_than_lgbm,groups_better_than_lgbm,months_better_than_current_anchor,groups_better_than_current_anchor,delta_vs_current_anchor
pycaret_compare,PyCaret,0.5950135303177585,0.868891665371151,0.321135395264366,1.03,0.6083302807241113,0.8711504708970228,0.34551009055119986,0.1288495291029772,-0.012395694175888705,0.570500391052577,0.5945555414144117,0.6143340086169561,0.6472233231685098,0.5634335103868682,599.0266945000621,1.2973119000089357,ok,"PyCaret compare_models first-pass; budget_time_minutes=3.0; leaders={'kpx_group_1': 'ExtraTreesRegressor(n_jobs=-1, random_state=42)', 'kpx_group_2': 'ExtraTreesRegressor(n_jobs=-1, random_state=42)', 'kpx_group_3': ""CatBoostRegressor(border_count=254, loss_function='RMSE', random_state=42, task_type='CPU', verbose=False)""}",3.0,1.0,1.0,0.0,-0.017759806475888706
radius_neighbors,neighbors,0.2513066760322382,0.5022012135063265,0.00041213855814994075,0.97,0.251369404553819,0.5022062251906472,0.0005325839169908726,0.4977937748093528,-0.369356570346181,0.18684177767839621,0.13003960479136722,0.25166995051604446,0.24414265231727586,0.25829561082813685,,,ok,radius neighbor feasibility with fallback outlier label; loaded cached prediction,0.0,0.0,0.0,0.0,-0.374720682646181
random_forest_wide,sklearn RandomForest,0.591935974767644,0.8661133599608173,0.31775858957447084,1.03,0.6054992356602994,0.8683705365750727,0.34262793474552605,0.13162946342492735,-0.015226739239700637,0.5796139363679503,0.587739210238396,0.6154827240732745,0.6460503292190938,0.5549646536885298,,,ok,bagging diversity; wider than #4 first run; loaded cached prediction,2.0,0.0,1.0,0.0,-0.02059085153970064
rf_leaf5_sqrt,sklearn RandomForest,0.5877793359216656,0.8680902216832904,0.30746845016004093,1.03,0.6020394661721901,0.8711488468110192,0.33293008553336084,0.12885115318898077,-0.01868650872780997,0.5594962873845392,0.580870993721779,0.6004757729016312,0.6440404077135263,0.5616022179014126,6.960650100023486,0.3614616999984719,ok,diversity RandomForest variant: sqrt features,1.0,0.0,0.0,0.0,-0.02405062102780997
sgd_huber,linear,0.26848881812546965,0.5362042683976374,0.0007733678533019946,1.03,0.2690390356258943,0.5372430977221108,0.0008349735296778951,0.4627569022778893,-0.3516869392741057,0.21242263827541163,0.15580712422429016,0.27151184721466975,0.2643133951912092,0.27129186447180387,,,ok,fast robust linear SGD surrogate; loaded cached prediction,0.0,0.0,0.0,0.0,-0.3570510515741057
svr_rbf_sampled,svm,0.3966927948446806,0.7044716621796117,0.08891392750974954,1.03,0.39961761039477783,0.7088866116577155,0.09034860913184012,0.29111338834228445,-0.2211083645052222,0.3163800455596969,0.25429320784523435,0.4144995887040585,0.40015446746586464,0.3841987750144104,,,ok,sampled RBF SVR feasibility; loaded cached prediction,0.0,0.0,0.0,0.0,-0.2264724768052222
tabm_torch,TabM,0.5510068804420305,0.8403880286562446,0.2616257322278163,1.03,0.5590147678807029,0.8432723867244082,0.2747571490369977,0.15672761327559184,-0.06171120701929711,0.5067537381654876,0.5286581949564273,0.5697981600471336,0.5725012698296349,0.5347448737653404,,,ok,loaded cached prediction,0.0,0.0,0.0,0.0,-0.06707531931929711
xgboost_pseudohuber,XGBoost,0.2509700742818922,0.5019401485637844,0.0,1.03,0.2509755271466211,0.5019510542932422,0.0,0.4980489457067579,-0.36975044775337895,0.18656509492088874,0.1296886622595606,0.2515640500174728,0.24355917617854367,0.2578033552438467,,,ok,XGBoost pseudo-Huber objective first-pass; loaded cached prediction,0.0,0.0,0.0,0.0,-0.37511456005337895
xgboost_squarederror,XGBoost,0.6031653922748563,0.8681771947052264,0.33815358984448624,1.03,0.6121855429888399,0.869559812142211,0.3548112738354688,0.13044018785778902,-0.008540431911160162,0.5847444540379431,0.6016344787073599,0.631688596602262,0.6475089420030207,0.5573590903612371,,,ok,XGBoost squared-error diversity baseline; loaded cached prediction,3.0,0.0,2.0,0.0,-0.013904544211160164
tabpfn_regressor,TabPFN,,,,,,,,,,,,,,,,,failed,failed: OSError: [WinError 10038] 소켓 이외의 개체에 작업을 시도했습니다,,,,,
