ensemble_id,model_id,members,weights,best_alpha,alpha_score,alpha_1_nmae,alpha_ficr,avg_nmae,delta_vs_baseline,worst_month_score,high_generation_score
w2_lgbm_xgboost_squarederror_0.90,w2_lgbm_xgboost_squarederror_0.90,lgbm_l1_baseline+xgboost_squarederror,"{""lgbm_l1_baseline"": 0.9, ""xgboost_squarederror"": 0.09999999999999998}",1.03,0.6210197735747749,0.8715747288515798,0.37046481829796996,0.1284252711484202,0.0002937986747748589,,
w2_lgbm_xgboost_squarederror_0.95,w2_lgbm_xgboost_squarederror_0.95,lgbm_l1_baseline+xgboost_squarederror,"{""lgbm_l1_baseline"": 0.95, ""xgboost_squarederror"": 0.050000000000000044}",1.03,0.6212682013042182,0.8714005721709143,0.37113583043752224,0.12859942782908573,0.0005422264042181935,,
w2_lgbm_xgboost_squarederror_1.00,w2_lgbm_xgboost_squarederror_1.00,lgbm_l1_baseline+xgboost_squarederror,"{""lgbm_l1_baseline"": 1.0, ""xgboost_squarederror"": 0.0}",1.03,0.6213552467009833,0.8712021483970117,0.37150834500495483,0.12879785160298826,0.0006292718009832665,,
w2_lgbm_h2o_automl_0.50,w2_lgbm_h2o_automl_0.50,lgbm_l1_baseline+h2o_automl,"{""lgbm_l1_baseline"": 0.5, ""h2o_automl"": 0.5}",1.03,0.6200295681387699,0.8719041820083013,0.3681549542692384,0.1280958179916987,-0.0006964067612301728,,
w2_lgbm_h2o_automl_0.55,w2_lgbm_h2o_automl_0.55,lgbm_l1_baseline+h2o_automl,"{""lgbm_l1_baseline"": 0.55, ""h2o_automl"": 0.44999999999999996}",1.03,0.6196616941190859,0.8720338476512821,0.36728954058688973,0.12796615234871786,-0.0010642807809141397,,
w2_lgbm_h2o_automl_0.60,w2_lgbm_h2o_automl_0.60,lgbm_l1_baseline+h2o_automl,"{""lgbm_l1_baseline"": 0.6, ""h2o_automl"": 0.4}",1.03,0.6202934221485971,0.8721201948362277,0.36846664946096636,0.1278798051637723,-0.00043255275140297034,,
w2_lgbm_h2o_automl_0.65,w2_lgbm_h2o_automl_0.65,lgbm_l1_baseline+h2o_automl,"{""lgbm_l1_baseline"": 0.65, ""h2o_automl"": 0.35}",1.03,0.6205973696169795,0.8721548550588111,0.36903988417514794,0.1278451449411889,-0.00012860528302049978,,
w2_lgbm_h2o_automl_0.70,w2_lgbm_h2o_automl_0.70,lgbm_l1_baseline+h2o_automl,"{""lgbm_l1_baseline"": 0.7, ""h2o_automl"": 0.30000000000000004}",1.03,0.621500470066794,0.8721444105307881,0.37085652960279997,0.12785558946921197,0.0007744951667939537,,
w2_lgbm_h2o_automl_0.75,w2_lgbm_h2o_automl_0.75,lgbm_l1_baseline+h2o_automl,"{""lgbm_l1_baseline"": 0.75, ""h2o_automl"": 0.25}",1.03,0.6213491417599099,0.872093690736623,0.3706045927831967,0.127906309263377,0.0006231668599098183,,
w2_lgbm_h2o_automl_0.80,w2_lgbm_h2o_automl_0.80,lgbm_l1_baseline+h2o_automl,"{""lgbm_l1_baseline"": 0.8, ""h2o_automl"": 0.19999999999999996}",1.03,0.6211189618642368,0.8719954108618732,0.3702425128666005,0.12800458913812685,0.0003929869642367301,,
w2_lgbm_h2o_automl_0.85,w2_lgbm_h2o_automl_0.85,lgbm_l1_baseline+h2o_automl,"{""lgbm_l1_baseline"": 0.85, ""h2o_automl"": 0.15000000000000002}",1.03,0.620893533886935,0.8718600310176666,0.3699270367562035,0.12813996898233335,0.00016755898693499027,,
w2_lgbm_h2o_automl_0.90,w2_lgbm_h2o_automl_0.90,lgbm_l1_baseline+h2o_automl,"{""lgbm_l1_baseline"": 0.9, ""h2o_automl"": 0.09999999999999998}",1.03,0.6209530669442422,0.8716838237439537,0.3702223101445307,0.12831617625604627,0.0002270920442422053,,
w2_lgbm_h2o_automl_0.95,w2_lgbm_h2o_automl_0.95,lgbm_l1_baseline+h2o_automl,"{""lgbm_l1_baseline"": 0.95, ""h2o_automl"": 0.050000000000000044}",1.03,0.621193216855559,0.8714632289807875,0.3709232047303304,0.12853677101921246,0.0004672419555589169,,
w2_lgbm_h2o_automl_1.00,w2_lgbm_h2o_automl_1.00,lgbm_l1_baseline+h2o_automl,"{""lgbm_l1_baseline"": 1.0, ""h2o_automl"": 0.0}",1.03,0.6213552467009833,0.8712021483970117,0.37150834500495483,0.12879785160298826,0.0006292718009832665,,
w2_lgbm_extra_trees_wide_0.50,w2_lgbm_extra_trees_wide_0.50,lgbm_l1_baseline+extra_trees_wide,"{""lgbm_l1_baseline"": 0.5, ""extra_trees_wide"": 0.5}",1.03,0.6190878620855873,0.8731834981361808,0.36499222603499376,0.1268165018638192,-0.0016381128144127288,,
w2_lgbm_extra_trees_wide_0.55,w2_lgbm_extra_trees_wide_0.55,lgbm_l1_baseline+extra_trees_wide,"{""lgbm_l1_baseline"": 0.55, ""extra_trees_wide"": 0.44999999999999996}",1.03,0.6196743616437494,0.8731675732832667,0.3661811500042322,0.12683242671673337,-0.001051613256250583,,
w2_lgbm_extra_trees_wide_0.60,w2_lgbm_extra_trees_wide_0.60,lgbm_l1_baseline+extra_trees_wide,"{""lgbm_l1_baseline"": 0.6, ""extra_trees_wide"": 0.4}",1.03,0.6191678745736291,0.8731104248719767,0.3652253242752814,0.12688957512802335,-0.001558100326370937,,
w2_lgbm_extra_trees_wide_0.65,w2_lgbm_extra_trees_wide_0.65,lgbm_l1_baseline+extra_trees_wide,"{""lgbm_l1_baseline"": 0.65, ""extra_trees_wide"": 0.35}",1.03,0.6199808676889382,0.8730144310334249,0.36694730434445155,0.12698556896657506,-0.0007451072110618018,,
w2_lgbm_extra_trees_wide_0.70,w2_lgbm_extra_trees_wide_0.70,lgbm_l1_baseline+extra_trees_wide,"{""lgbm_l1_baseline"": 0.7, ""extra_trees_wide"": 0.30000000000000004}",1.03,0.6206343698376464,0.8728752546616589,0.3683934850136339,0.12712474533834103,-9.160506235361687e-05,,
w2_lgbm_extra_trees_wide_0.75,w2_lgbm_extra_trees_wide_0.75,lgbm_l1_baseline+extra_trees_wide,"{""lgbm_l1_baseline"": 0.75, ""extra_trees_wide"": 0.25}",1.03,0.6206758256311352,0.8726972796659793,0.36865437159629116,0.1273027203340207,-5.014926886481863e-05,,
w2_lgbm_extra_trees_wide_0.80,w2_lgbm_extra_trees_wide_0.80,lgbm_l1_baseline+extra_trees_wide,"{""lgbm_l1_baseline"": 0.8, ""extra_trees_wide"": 0.19999999999999996}",1.03,0.6206186239423457,0.8724778123037116,0.3687594355809798,0.1275221876962884,-0.00010735095765435076,,
w2_lgbm_extra_trees_wide_0.85,w2_lgbm_extra_trees_wide_0.85,lgbm_l1_baseline+extra_trees_wide,"{""lgbm_l1_baseline"": 0.85, ""extra_trees_wide"": 0.15000000000000002}",1.03,0.6210439572816487,0.8722178148228608,0.3698700997404368,0.12778218517713924,0.00031798238164870707,,
w2_lgbm_extra_trees_wide_0.90,w2_lgbm_extra_trees_wide_0.90,lgbm_l1_baseline+extra_trees_wide,"{""lgbm_l1_baseline"": 0.9, ""extra_trees_wide"": 0.09999999999999998}",1.03,0.6209517837419597,0.8719168889495164,0.369986678534403,0.12808311105048362,0.00022580884195966267,,
