experiment,target,label_regime,rows,baseline_abs_error,candidate_abs_error,delta_abs_error,impact_delta,fail_to_pass8,pass_to_fail8,net_pass8
deploy_high_specialist_pred_ge_0.60::B1_plus_proxy_power_curve,kpx_group_2,very_high_80pct_plus,953,0.10177680964708505,0.08820065345718227,-0.013576156189902804,-12.938076848977373,92,56,36
deploy_high_specialist_pred_ge_0.60::B1_plus_proxy_power_curve,kpx_group_3,ficr_boundary_8_12pct,212,0.08120711003542756,0.08140867166828628,0.0002015616328587125,0.04273106616604705,0,0,0
deploy_high_specialist_pred_ge_0.60::B1_plus_proxy_power_curve,kpx_group_3,high_50_80pct,1353,0.13943275374641514,0.1471888124747017,0.0077560587282865245,10.493947459371668,138,173,-35
deploy_high_specialist_pred_ge_0.60::B1_plus_proxy_power_curve,kpx_group_3,mid_12_50pct,2289,0.11970861500975122,0.1276296267374702,0.007921011727718957,18.131195844748692,0,19,-19
deploy_high_specialist_pred_ge_0.60::B1_plus_proxy_power_curve,kpx_group_3,very_high_80pct_plus,712,0.25626418960538966,0.2268008368123482,-0.029463352793041426,-20.977907188645496,44,17,27
deploy_high_specialist_pred_ge_0.60::B1_plus_scada_wind_proxy,kpx_group_1,ficr_boundary_8_12pct,219,0.07044284511124083,0.07051091949972993,6.807438848909925e-05,0.014908291079112734,0,0,0
deploy_high_specialist_pred_ge_0.60::B1_plus_scada_wind_proxy,kpx_group_1,high_50_80pct,1611,0.12847016899989905,0.12847928985645782,9.120856558782027e-06,0.014693699916197844,118,109,9
deploy_high_specialist_pred_ge_0.60::B1_plus_scada_wind_proxy,kpx_group_1,mid_12_50pct,2319,0.11450728545556907,0.11814765633769732,0.0036403708821282485,8.442020075655408,0,15,-15
deploy_high_specialist_pred_ge_0.60::B1_plus_scada_wind_proxy,kpx_group_1,very_high_80pct_plus,840,0.13474837294347627,0.1264400497135251,-0.008308323229951196,-6.978991513159006,87,44,43
deploy_high_specialist_pred_ge_0.60::B1_plus_scada_wind_proxy,kpx_group_2,ficr_boundary_8_12pct,224,0.10299452418209623,0.10312560867261099,0.00013108449051474992,0.02936292587530398,0,0,0
