experiment,score,one_minus_nmae,avg_nmae,ficr,worst_month,high_generation_score,eligible_hours,gate,threshold,specialist,delta_score_vs_lead_base
deploy_boundary_lead_pred_0.08_0.12::B1_plus_fundamental_all,0.6118262635335787,0.8698215271864542,0.13017847281354575,0.35383099988070327,0.573789541940384,0.6001471975292099,14531,lead_pred,,B1_plus_fundamental_all,-8.845417967195957e-06
deploy_boundary_lead_pred_0.06_0.14::B1_plus_fundamental_all,0.611735922315847,0.8697601706861544,0.13023982931384556,0.35371167394553943,0.5732963149151371,0.6001668280972834,14531,lead_pred,,B1_plus_fundamental_all,-9.91866356989668e-05
deploy_boundary_lead_pred_0.08_0.16::B1_plus_scada_wind_proxy,0.6116983286519071,0.8695059884777613,0.1304940115222387,0.35389066882605297,0.5729892511818374,0.6001536979984943,14531,lead_pred,,B1_plus_scada_wind_proxy,-0.00013678029963881677
deploy_boundary_lead_pred_0.08_0.16::B1_plus_proxy_power_curve,0.6116437811280755,0.8694881152889365,0.13051188471106348,0.3537994469672144,0.5736028190377958,0.6001591825327872,14531,lead_pred,,B1_plus_proxy_power_curve,-0.00019132782347042188
deploy_high_lead_pred_ge_0.80::B1_plus_proxy_power_curve,0.6116222647829108,0.869744316135186,0.13025568386481404,0.35350021343063553,0.5761547636644482,0.5996649945325945,14531,lead_pred,0.8,B1_plus_proxy_power_curve,-0.0002128441686350957
deploy_high_lead_pred_ge_0.85::B1_plus_proxy_power_curve,0.611595310495218,0.8699554988152522,0.1300445011847478,0.35323512217518377,0.5738797908693732,0.5997413661098119,14531,lead_pred,0.85,B1_plus_proxy_power_curve,-0.00023979845632793317
deploy_high_lead_pred_ge_0.80::B1_plus_fundamental_all,0.6115532406920398,0.8697635280461171,0.1302364719538829,0.3533429533379624,0.57524107187936,0.5995975135082574,14531,lead_pred,0.8,B1_plus_fundamental_all,-0.00028186825950615724
deploy_high_specialist_pred_ge_0.75::B1_plus_proxy_power_curve,0.6115117025469677,0.869013411276284,0.13098658872371605,0.35400999381765147,0.5750684579058303,0.6001680525142471,14531,specialist_pred,0.75,B1_plus_proxy_power_curve,-0.0003234064045781748
deploy_high_specialist_pred_ge_0.80::B1_plus_scada_wind_proxy,0.6114930190786279,0.8688486463715103,0.13115135362848976,0.3541373917857453,0.5867220197051304,0.5994197632849989,14531,specialist_pred,0.8,B1_plus_scada_wind_proxy,-0.00034208987291806103
deploy_high_specialist_pred_ge_0.80::B1_plus_proxy_power_curve,0.6114851737203768,0.8691779741867408,0.13082202581325916,0.35379237325401286,0.5780916608099097,0.5996518239366435,14531,specialist_pred,0.8,B1_plus_proxy_power_curve,-0.0003499352311691073
